10.7254 	EXP 	window1: mouseVisible = True
10.7257 	EXP 	window1: mouseVisible = True
10.7260 	EXP 	window1: mouseVisible = True
10.7314 	EXP 	window1: mouseVisible = True
10.7315 	EXP 	window1: mouseVisible = True
10.7317 	EXP 	window1: mouseVisible = True
10.7320 	EXP 	window1: mouseVisible = True
10.7573 	EXP 	window1: mouseVisible = True
10.7574 	EXP 	window1: mouseVisible = True
10.7577 	EXP 	window1: mouseVisible = True
10.7580 	EXP 	window1: mouseVisible = True
10.7631 	EXP 	window1: mouseVisible = True
10.7639 	EXP 	window1: mouseVisible = True
10.7918 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-5, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
10.7920 	EXP 	window1: mouseVisible = True
12.0723 	EXP 	Created question = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Content', units='height', win=Window(...), wrapWidth=1)
12.0743 	EXP 	window1: mouseVisible = True
12.0746 	EXP 	window1: mouseVisible = True
12.0761 	EXP 	window1: mouseVisible = True
12.0762 	EXP 	window1: mouseVisible = True
12.0765 	EXP 	window1: mouseVisible = True
12.0768 	EXP 	window1: mouseVisible = True
12.0825 	EXP 	window1: mouseVisible = True
12.0826 	EXP 	window1: mouseVisible = True
12.0829 	EXP 	window1: mouseVisible = True
12.0832 	EXP 	window1: mouseVisible = True
12.0883 	EXP 	window1: mouseVisible = True
12.0884 	EXP 	window1: mouseVisible = True
12.0887 	EXP 	window1: mouseVisible = True
12.0889 	EXP 	window1: mouseVisible = True
12.0942 	EXP 	window1: mouseVisible = True
12.0943 	EXP 	window1: mouseVisible = True
12.0946 	EXP 	window1: mouseVisible = True
12.0948 	EXP 	window1: mouseVisible = True
12.1002 	EXP 	window1: mouseVisible = True
