sub_num,trial,block,task,is_practice,category,image,texture,duration,blank,mask,mask_dur,mask_texture,jitter
101,1,0,categorization,1,bathroom,SHINEd_bathroom_practice1.tif,111,83.33,33.33,1,83.33,121,1.01927839443279
101,2,0,categorization,1,bathroom,SHINEd_bathroom_practice2.tif,112,83.33,33.33,1,83.33,121,1.60093813024948
101,3,0,categorization,1,bathroom,SHINEd_bathroom_practice3.tif,113,83.33,33.33,1,83.33,121,1.21035974194423
101,4,0,categorization,1,bathroom,SHINEd_bathroom_practice4.tif,114,83.33,33.33,1,83.33,121,1.4570249296823
101,5,0,categorization,1,bathroom,SHINEd_bathroom_practice5.tif,115,83.33,33.33,1,83.33,121,0.710434769443539
101,6,0,categorization,1,kitchen,SHINEd_kitchen_practice1.tif,116,83.33,33.33,1,83.33,121,1.5538729681789
101,7,0,categorization,1,kitchen,SHINEd_kitchen_practice2.tif,117,83.33,33.33,1,83.33,121,0.828978398891656
101,8,0,categorization,1,kitchen,SHINEd_kitchen_practice3.tif,118,83.33,33.33,1,83.33,121,1.38104519723183
101,9,0,categorization,1,kitchen,SHINEd_kitchen_practice4.tif,119,83.33,33.33,1,83.33,121,1.25959491859749
101,10,0,categorization,1,kitchen,SHINEd_kitchen_practice5.tif,120,83.33,33.33,1,83.33,121,0.845996114761316
101,1,1,categorization,0,kitchen,SHINEd_sun_ahpczsiumwwocjkv.tif,90,83.33,33.33,1,83.33,121,0.710248763823285
101,2,1,categorization,0,kitchen,SHINEd_sun_agzzivivdpnawacl.tif,87,83.33,33.33,1,83.33,121,1.33414837922303
101,3,1,categorization,0,kitchen,SHINEd_sun_alazdvaixpjtegwg.tif,97,83.33,33.33,1,83.33,121,0.821696629648571
101,4,1,categorization,0,kitchen,SHINEd_sun_aypmqwcualkenuoe.tif,110,83.33,33.33,1,83.33,121,0.947457197644982
101,5,1,categorization,0,kitchen,SHINEd_sun_avszsnwsbuqfgzbn.tif,105,83.33,33.33,1,83.33,121,1.26950000347658
101,6,1,categorization,0,bathroom,SHINEd_sun_axbqssteryzzlcop.tif,57,83.33,33.33,1,83.33,121,1.11515106551157
101,7,1,categorization,0,bathroom,SHINEd_sun_acsgbuurtwghzjel.tif,21,83.33,33.33,1,83.33,121,1.12602066686337
101,8,1,categorization,0,kitchen,SHINEd_sun_akcjzhbbjlbogpdi.tif,95,83.33,33.33,1,83.33,121,1.91608282444665
101,9,1,categorization,0,kitchen,SHINEd_sun_axyyrmzcupyhlivc.tif,109,83.33,33.33,1,83.33,121,1.32805747045626
101,10,1,categorization,0,kitchen,SHINEd_sun_aeikbkmhphqzxdkv.tif,79,83.33,33.33,1,83.33,121,0.785747120508453
101,11,1,categorization,0,kitchen,SHINEd_sun_auticobqsbwgoppi.tif,104,83.33,33.33,1,83.33,121,0.895937094126584
101,12,1,categorization,0,bathroom,SHINEd_sun_aavhrsfjbserjtht.tif,15,83.33,33.33,1,83.33,121,1.83560174127738
101,13,1,categorization,0,bathroom,SHINEd_sun_aapitsgbtktqubfy.tif,14,83.33,33.33,1,83.33,121,0.866236455834289
101,14,1,categorization,0,kitchen,SHINEd_sun_aaxxjlsuzvqlgylf.tif,66,83.33,33.33,1,83.33,121,1.49305742233966
101,15,1,categorization,0,kitchen,SHINEd_sun_acwjdupvyjsugpay.tif,73,83.33,33.33,1,83.33,121,0.776983328695312
