sub_num,trial,block,task,is_practice,category,image,texture,jitter
101,1,0,categorization,1,kitchen,kitchen_practice1.jpg,116,1.46168952887316
101,2,0,categorization,1,bathroom,bathroom_practice1.jpg,111,1.21057466256738
101,3,0,categorization,1,bathroom,bathroom_practice3.jpg,113,1.62857742596071
101,4,0,categorization,1,bathroom,bathroom_practice2.jpg,112,0.758321758558822
101,5,0,categorization,1,bathroom,bathroom_practice5.jpg,115,1.11186419459491
101,6,0,categorization,1,kitchen,kitchen_practice4.jpg,119,1.83347631690575
101,7,0,categorization,1,kitchen,kitchen_practice3.jpg,118,0.984586387020481
101,8,0,categorization,1,kitchen,kitchen_practice2.jpg,117,0.757836635928802
101,9,0,categorization,1,kitchen,kitchen_practice5.jpg,120,0.756681270324324
101,10,0,categorization,1,bathroom,bathroom_practice4.jpg,114,1.20022528061432
101,1,1,categorization,0,kitchen,sun_axaiaptzctpidqzg.jpg,58,1.22360550357935
101,2,1,categorization,0,bathroom,sun_aghyqhbptboemmoq.jpg,75,1.36873839171461
101,3,1,categorization,0,bathroom,sun_amzlamotzwfkwjco.jpg,88,1.6250851416904
101,4,1,categorization,0,kitchen,sun_awcpdzzznmweyyhv.jpg,57,1.68775624732326
101,5,1,categorization,0,kitchen,sun_axyyrmzcupyhlivc.jpg,59,1.40893227570381
101,6,1,categorization,0,kitchen,sun_acwjdupvyjsugpay.jpg,23,1.39143406208374
101,7,1,categorization,0,bathroom,sun_akbyysnpwewzraii.jpg,82,1.73933447342179
101,8,1,categorization,0,kitchen,sun_aehawpgmrlhlvcow.jpg,28,1.81250203594352
101,9,1,categorization,0,bathroom,sun_asfwthctfqerjvxr.jpg,99,0.848892929556414
101,10,1,categorization,0,bathroom,sun_afcoljnjfoxjtgja.jpg,74,1.09270363062344
101,11,1,categorization,0,kitchen,sun_aeqbewejiovwrhhc.jpg,30,0.946789485342913
101,12,1,categorization,0,kitchen,sun_ajcbwwvdlsvjyzje.jpg,44,1.66285471551636
101,13,1,categorization,0,kitchen,sun_anbcmfjhobvmedkq.jpg,50,1.57013814882292
