sub1,sub2,pairID,trialID
101,102,1,1
101,103,2,2
101,104,3,3
101,105,4,4
101,106,5,5
101,109,6,6
101,111,7,7
101,112,8,8
101,113,9,9
101,114,10,10
101,115,11,11
101,116,12,12
101,117,13,13
101,118,14,14
101,119,15,15
101,120,16,16
101,121,17,17
101,122,18,18
101,123,19,19
101,124,20,20
101,125,21,21
101,126,22,22
101,127,23,23
101,129,24,24
101,130,25,25
101,131,26,26
101,132,27,27
101,134,28,28
101,135,29,29
101,136,30,30
101,137,31,31
101,138,32,32
101,139,33,33
101,140,34,34
101,141,35,35
102,103,36,36
102,104,37,37
102,105,38,38
102,106,39,39
102,109,40,40
102,111,41,41
102,112,42,42
102,113,43,43
102,114,44,44
102,115,45,45
102,116,46,46
102,117,47,47
102,118,48,48
102,119,49,49
102,120,50,50
102,121,51,51
102,122,52,52
102,123,53,53
102,124,54,54
102,125,55,55
102,126,56,56
102,127,57,57
102,129,58,58
102,130,59,59
102,131,60,60
102,132,61,61
102,134,62,62
102,135,63,63
102,136,64,64
102,137,65,65
102,138,66,66
102,139,67,67
102,140,68,68
102,141,69,69
103,104,70,70
103,105,71,71
103,106,72,72
103,109,73,73
103,111,74,74
103,112,75,75
103,113,76,76
103,114,77,77
103,115,78,78
103,116,79,79
103,117,80,80
103,118,81,81
103,119,82,82
103,120,83,83
103,121,84,84
103,122,85,85
103,123,86,86
103,124,87,87
103,125,88,88
103,126,89,89
103,127,90,90
103,129,91,91
103,130,92,92
103,131,93,93
103,132,94,94
103,134,95,95
103,135,96,96
103,136,97,97
103,137,98,98
103,138,99,99
103,139,100,100
103,140,101,101
103,141,102,102
104,105,103,103
104,106,104,104
104,109,105,105
104,111,106,106
104,112,107,107
104,113,108,108
104,114,109,109
104,115,110,110
104,116,111,111
104,117,112,112
104,118,113,113
104,119,114,114
104,120,115,115
104,121,116,116
104,122,117,117
104,123,118,118
104,124,119,119
104,125,120,120
104,126,121,121
104,127,122,122
104,129,123,123
104,130,124,124
104,131,125,125
104,132,126,126
104,134,127,127
104,135,128,128
104,136,129,129
104,137,130,130
104,138,131,131
104,139,132,132
104,140,133,133
104,141,134,134
105,106,135,135
105,109,136,136
105,111,137,137
105,112,138,138
105,113,139,139
105,114,140,140
105,115,141,141
105,116,142,142
105,117,143,143
105,118,144,144
105,119,145,145
105,120,146,146
105,121,147,147
105,122,148,148
105,123,149,149
105,124,150,150
105,125,151,151
105,126,152,152
105,127,153,153
105,129,154,154
105,130,155,155
105,131,156,156
105,132,157,157
105,134,158,158
105,135,159,159
105,136,160,160
105,137,161,161
105,138,162,162
105,139,163,163
105,140,164,164
105,141,165,165
106,109,166,166
106,111,167,167
